"No","표준명 [INGR_KOR_NAME] ","영문명 [INGR_ENG_NAME] ","CASNO [CAS_NO] ","기원및정의 [ORIGIN_MAJOR_KOR_NAME] ","이명 [INGR_SYNONYM] ","rownum"
"7975","테트라메틸아세틸옥타하이드로나프탈렌","Tetramethyl Acetyloctahydronaphthalenes","","이 원료는 다음의 구조를 갖는 이성질체혼합물이다.","테트라메칠아세틸옥타하이드로나프탈렌","7975"
"7976","피칸껍질추출물","Carya Illinoinensis (Pecan) Shell Extract","","이 원료는 피칸 Carya illinoinensis의 껍질에서 추출한 것이다.","","7976"
"7977","글라이옥실로일카보시스테인","Glyoxyloyl Carbocysteine","","이 원료는 다음의 구조를 갖는 유기화합물이다.","글라이옥시로일카보시스테인","7977"
"7978","글리옥실로일케라틴아미노산","glyoxyloyl keratin amino acids","","이 원료는 옥소아세트아마이드와 케라틴아미노산의 반응으로 얻은 생성물이다.","글라이옥시로일케라틴아미노산","7978"
"7979","소듐메틸이세티오네이트","Sodium Methyl Isethionate","","이 원료는 다음의 구조를 갖는 유기화합물이다.","소듐메칠이세치오네이트","7979"
"7980","사이클로테트라펩타이드-24아미노사이클로헥산카복실레이트","Cyclotetrapeptide-24 Aminocyclohexane Carboxylate","","이 원료는 다음의 구조를 갖는 유기화합물이다. R은 고리화된 테트라펩타이드-24이다.","","7980"
"7981","자주개자리싹추출물","Medicago Sativa (Alfalfa) Sprout Extract","","이 원료는 자주개자리(Medicago sativa)의 싹에서 추출한 것이다.","","7981"
"7982","도금양열매추출물","Rhodomyrtus Tomentosa Fruit Extract","","이 원료는 도금양(Rhodomyrtus Tomentosa)의 씨에서 추출한 것이다.","","7982"
"7983","드럼스틱씨추출물","Moringa Oleifera Seed Extract,Moringa Pterygosperma Seed Extract","","이 원료는 드럼스틱 Moringa oleifera(=Moringa pterygosperma)의 씨에서 추출한 것이다.","드럼스틱나무씨추출물","7983"
"7984","청금석","Lapis Lazuli","","이 원료는 주로 천람석(Lazurite), 방소다석(Sodalite), 방해석(calcite), 황철석(pyrite)으로 구성된 암석이다.","","7984"
"7985","폴리글리세릴-10카프릴레이트/카프레이트","Polyglyceryl-10 Caprylate/Caprate","","이 원료는 폴리글리세린-10과 카프릴릭 및 카프릭애씨드의 혼합물의 모노에스터이다.","","7985"
"7986","리키노덴드론 라우테네니이씨오일","Ricinodendron Rautenenii Seed Oil","","이 원료는 Ricinodendron rautenenii의 씨를 압착하여 얻은 오일이다.","몽공고씨오일","7986"
"7987","물푸레나무잎추출물","Fraxinus Rhynchophylla Leaf Extract","","이 원료는 물푸레나무(Fraxinus rhynchophylla)에서 추출한 것이다.","","7987"
"7988","지렁이점액","Earthworm Secretion","","이 원료는 지렁이(Lumbricus rubellus)에서 얻은 점액이다.","","7988"
"7989","데저트데이트추출물","Balanites Aegyptiaca Fruit Extract","","이 원료는 데저트데이트(Balanites aegvptiaca)의 열매에서 추출한 것이다.","","7989"
"7990","에스에이치-펜타펩타이드-2","sh-Pentapeptide-2","","이 원료는 단백질, 엘라스틴, 그리고 글라이신, 프롤린 및 발린으로 구성된 5가지 아미노산을 포함하도록 합성된 단일 사슬 휴먼펩타이드이다.","","7990"
"7991","쿠마로일트라이펩타이드-1","Coumaroyl Tripeptide-1","","이 원료는 쿠마릭애씨드와 트라이펩타이드-1의 반응에 의해 얻어진 생산물이다.","쿠마로일트리펩타이드-1","7991"
"7992","다이스테아릴라우로일글루타메이트","Distearyl Lauroyl Glutamate","","이 원료는 다음의 구조를 갖는 치환된 아미노산이다.","디스테아릴라우로일글루타메이트","7992"
"7993","사탕무싹추출물","Beta Vulgaris (Beet) Sprout Extract","","이 원료는 사탕무(Beet) Beta vulgaris의 싹에서 추출한 것이다.","비트싹추출물","7993"
"7994","락토바실러스/포도주추출물발효여과물","Lactobacillus/Wine Extract Ferment Filtrate","","이 원료는 미생물의 일종인 락토바실러스 Lactobacillus로 포도주추출물을 발효하여 여과한 것이다.","락토바실러스/포도주발효여과물","7994"
"7995","소듐메틸올레오일타우레이트","Sodium Methyl Oleoyl Taurate","","이 원료는 다음의 구조를 갖는 N-메틸타우린의 올레익애씨드아마이드의 소듐염이다.","소듐메칠올레오일타우레이트","7995"
"7996","폴리쿼터늄-48","Polyquaternium-48","","이 원료는 메타크릴로일에칠베타인, 2-하이드록시에칠메타크릴레이트 및 메타크릴로일에칠트리메칠암모늄클로라이드에서 형성된 4급암모늄염이다.","","7996"
"7997","세테아라미도에틸디에토늄하이드롤라이즈드쌀단백질","Cetearamidoethyl Diethonium Hydrolyzed Rice Protein","","이 원료는 다음의 구조를 갖는 4급암모늄염이다. RCO-는 세테아릴 그룹이고, R'은 하이드롤라이즈드쌀단백질 그룹이다.","세테아라미도에칠디에토늄하이드롤라이즈드쌀단백질","7997"
"7998","비스(헥실데실/옥틸도데실)라우로일글루타메이트","Bis(Hexyldecyl/Octyldodecyl) Lauroyl Glutamate","","이 원료는 치환된 아미노산이며 R이 헥실데칸올과 옥틸도데칸올의 혼합물인 다음의 구조를 갖는다.","비스(헥실데실라우레이트/옥틸도데실)라우로일글루타메이트","7998"
"7999","피피지-5피토스테롤","PPG-5 Phytosterol","","이 원료는 평균 5몰의 프로필렌옥사이드를 포함하는 피토스테롤의 폴리프로필렌글라이콜에텔이다.","","7999"
"8000","노보넨/트리스(트라이메틸실록시)실릴노르보르넨코폴리머","Norbornene/Tris(Trimethylsiloxy)silylnorbornene Copolymer","","이 원료는 주로 다음의 구조를 갖는 중합체이다.","노보넨/트리스(트리메칠실록시)실릴노보넨코폴리머","8000"
"8001","다이메틸아크릴아마이드/에틸트라이모늄클로라이드메타아크릴레이트코폴리머","Dimethylacrylamide/Ethyltrimonium Chloride Methacrylate Copolymer","","이 원료는 다이메틸아크릴아마이트와 에틸트라이모늄클로라이드메타아크릴레이트모노머들의 공중합체이다.","디메칠아크릴아마이드/에칠트리모늄클로라이드메타크릴레이트코폴리머","8001"
"8002","멘틸니코티네이트","Menthyl Nicotinate","","이 원료는 다음의 구조를 갖는 유기화합물이다.","","8002"
"8003","카프릴로일글리세린/세바식애씨드코폴리머","Capryloyl Glycerin/Sebacic Acid Copolymer","","이 원료는 카프릴로일글라이신과 세바식애씨드모노머의 공중합체이다.","","8003"
"8004","다이헵틸석시네이트","Diheptyl Succinate","","이 원료는 다음의 구조를 갖는 유기화합물이다.","디헵틸석시네이트","8004"
"8005","트라이메틸올프로판","Trimethylolpropane","","이 원료는 다음의 구조를 갖는 유기화합물이다.","트리메칠올프로판","8005"
"8006","영귤추출물","Citrus Sudachi Fruit Extract","","이 원료는 영귤(Citrus sudachi)의 열매에서 추출한 것이다.","","8006"
"8007","2-올레아미도-1,3,4-옥타데카트라이일프롤리네이트","2-Oleamido-1,3,4-Octadecatriyl Prolinate","","이 원료는 다음의 구조를 갖는 유기화합물이다.","2-올레아미도-1,3,4-옥타데카트리일프롤리네이트","8007"
"8008","쌀단백질","Oryza Sativa (Rice) Seed Protein","","이 원료는 쌀 (Oryza sativa)의 씨에서 얻은 단백질이다.","","8008"
"8009","비목나무추출물","Lindera Erythrocarpa Extract","","이 원료는 비목나무(Lindera Erythrocarpa)의 전초에서 추출한 것이다.","","8009"
"8010","소듐아라키데이트","Sodium Arachidate","","이 원료는 다음의 구조를 갖는 아라키딕애씨드 이다.","","8010"
"8011","서양산딸기즙","Rubus Fruticosus (Blackberry) Juice","","이 원료는 서양산딸기(Blackberry) Rubus fruticosus의 열매를 압착하여 얻은 즙이다.","블랙베리즙","8011"
"8012","다이소듐카복시에틸실리코네이트","Disodium Carboxyethyl Siliconate","","이 원료는 다음의 구조를 갖는 유기화합물이다.","디소듐카복시에칠실리코네이트","8012"
"8013","포타슘옥사이드","Potassium Oxide","","이 원료는 다음의 구조를 갖는 유기화합물이다.","","8013"
"8014","망가니즈옥사이드","Manganese Oxide","","이 원료는 다음의 구조를 갖는 유기화합물이다.","","8014"
"8015","소듐옥사이드","Sodium Oxide","","이 원료는 다음의 구조를 갖는 유기화합물이다.","","8015"
"8016","다마스크장미꽃","Rosa Damascena Flower","","이 원료는 다마스크장미 (Rosa damascena)의 꽃이다.","","8016"
"8017","구갈수지추출물","Commiphora Wightii Resin Extract","","이 원료는 구갈 Commiphora wightii의 수지에서 추출한 것이다.","인디언베델리움수지추출물","8017"
"8018","바닐라콩추출물","Vanilla Planifolia Bean Extract","8024-06-4,84650-63-5","이 원료는 바닐라(Vanilla, Vanilla planifolia, Orchidaceae)의 콩에서 추출한 것이다.","","8018"
"8019","마트리카리아오일","Chamomilla Recutita (Matricaria) Oil","","이 원료는 마트리카리아(Matricaria) Chamomilla recutita의 전초에서 얻은 휘발성 오일이다.","캐모마일오일","8019"
"8020","바륨클로라이드","Barium Chloride","","이 원료는 다음의 구조를 갖는 무기화합물이다.","","8020"
"8021","호데닌","Hordenine","","이 원료는 다음의 구조를 갖는 유기화합물이다.","","8021"
"8022","아미디노시스테인","Amidinocysteine","","이 원료는 다음의 구조를 갖는 유기화합물이다.","","8022"
"8023","팜커넬/코코글루코사이드","Palm Kernel/Coco Glucoside","","이 원료는 글루코스로 팜커넬애씨드 및 코코넛애씨드를 축합하여 얻은 것이다.","","8023"
"8024","다마스크장미꽃가루","Rosa Damascena Flower Powder","","이 원료는 다마스크장미 (Rosa damascena)의 꽃을 건조하여 얻은 가루이다.","","8024"
"8025","귀리잎추출물","Avena Sativa (Oat) Leaf Extract","","이 원료는 귀리 (Avena sativa)의 잎에서 추출한 것이다.","","8025"
"8026","진흙버섯/콜라겐발효여과물","Phellinus Linteus/Collagen Ferment Filtrate","","이 원료는 진흙버섯 Phellinus Linteus으로 콜라겐을 발효하여 여과한 것이다.","상황버섯/콜라겐발효여과물","8026"
"8027","양지방기질세포배양액","Sheep Adipose Stromal Cell Conditioned Media","","이 원료는 양의 지방조직에서 얻은 기질세포를 수일간 배양한 후 이를 제거한 성장배지이다.","","8027"
"8028","흑효모발효추출물","Aureobasidium Pullulans Ferment Extract","","이 원료는 흑효모발효물에서 추출한 것이다.","","8028"
"8029","피토스핑고신아스코베이트","Phytosphingosine Ascorbate","","이 원료는 피토스핑고신과 아스코르빅애씨드의 반응으로 얻은 것이다.","","8029"
"8030","알스토니아껍질추출물","Alstonia Scholaris Bark Extract","","이 원료는 알스토니아(Alstonia scholaris)의 껍질에서 추출한 것이다.","","8030"
"8031","라우릴올리베이트","Lauryl Olivate","","이 원료는 다음의 구조를 갖는 유기화합물이다. RCO-는 올리브오일에서 유래한 지방산이다.","","8031"
"8032","참다랑어추출물","Tuna Extract","","이 원료는 생선 종인 참다랑어 Thunnus에서 추출한 것이다.","다랭이추출물","8032"
"8033","먹장어껍질점액추출물","Inshore Hagfish Skin Mucus Extract","","이 원료는 먹장어(inshore hagfish, Eptatretus bergeri)의 껍질에서 얻은 점액에서 추출한 것이다.","","8033"
"8034","뱀장어껍질점액추출물","Eel Skin Mucus Extract","","이 원료는 뱀장어(Anguilla japonica)의 껍질에서 얻은 점액에서 추출한 것이다.","","8034"
"8035","하이포시스 루페리뿌리줄기추출물","Hypoxis Rooperi Rhizome Extract","","이 원료는 Hypoxis Rooperi의 뿌리줄기에서 추출한 것이다.","하이포시스루페리뿌리줄기추출물","8035"
"8036","백미꽃추출물","Vincetoxicum Atratum Extract,Cynanchum Atratum Extract","","이 원료는 백미꽃 Vincetoxicum Atratum(=Cynanchum Atratum)의 전초에서 추출한 것이다.","","8036"
"8037","흑운모","Biotite,Black Mica","","이 원료는 주로 K2O, MgO, FeO, Fe2O3, Al2O3, SiO2 및 H2O로 구성된 미네랄이다.","","8037"
"8038","에틸팔미테이트","Ethyl Palmitate","","이 원료는 다음의 구조를 갖는 팔미틱애씨드와 에틸알코올의 에스터이다.","에칠팔미테이트","8038"
"8039","골든타이누이꽃/잎추출물","Pomaderris Kumerahou Flower/Leaf Extract","","이 원료는 골든타이누이 Pomaderris kumerahou의 꽃과 잎을 추출한 것이다.","포마데리스 쿠메라호우꽃/잎추출물","8039"
"8040","폴리글리세릴-6미리스테이트","Polyglyceryl-6 Myristate","","이 원료는 미리스틱애씨드와 폴리글리세린-6의 모노에스터이다.","","8040"
"8041","에틸스테아레이트","Ethyl Stearate","","이 원료는 다음의 구조를 갖는 스테아릭애씨드와 에틸알코올의 에스터이다.","에칠스테아레이트","8041"
"8042","시로미캘러스배양추출물","Empetrum Nigrum Callus Culture Extract","","이 원료는 시로미(Empetrum nigrum)의 캘러스를 배양하여 추출한 것이다.","","8042"
"8043","효모/페퍼민트잎발효여과물","Saccharomyces/Peppermint Leaf Ferment Filtrate","","이 원료는 효모로 페퍼민트(Mentha Piperita) 잎을 발효하여 여과한 것이다.","","8043"
"8044","클루이베로미세스/락토바실러스/섬오갈피나무껍질/줄기오일발효여과물","Kluyveromyces/Lactobacillus/Acanthopanax Koreanum Bark/Stem Oil Ferment Filtrate","","이 원료는 클루이베로미세스 및 락토바실러스로 섬오갈피나무(Acanthopanax Koreanum)의 껍질과 줄기에서 유래한 휘발성 오일을 발효하여 여과한 것이다.","","8044"
"8045","클루이베로미세스/락토바실러스/동백나무씨오일발효여과물","Kluyveromyces/Lactobacillus/Camellia Japonica Seed Oil Ferment Filtrate","","이 원료는 클루이베로미세스 및 락토바실러스로 동백나무 Camellia japonica의 씨를 압착하여 얻은 오일을 발효하여 여과한 것이다.","클루이베로미세스/락토바실러스/동백오일발효여과물","8045"
"8046","큰극락조화씨껍질추출물","Strelitzia Nicolai Seed Aril Extract","","이 원료는 큰극락조화(Strelitzia nicolai) 씨의 가종피에서 추출한 것이다.","","8046"
"8047","다이메티콘올/메틸실레인올/실리케이트크로스폴리머","Dimethiconol/Methylsilanol/Silicate Crosspolymer","","이 원료는 실리카, 다이메틸실레인올, 그리고 메틸실레인올의 반응으로 형성된 교차중합체이다.","디메칠콘올/메칠실란올/실리케이트크로스폴리머","8047"
"8048","귀리짚추출물","Avena Sativa (Oat) Straw Extract","","이 원료는 귀리(Avena sativa)의 짚에서 추출한것이다.","","8048"
"8049","퀴스토세이라 아멘타케아/카이스피토사/브란키카르파추출물","Cystoseira Amentacea/Caespitosa/Branchycarpa Extract","","이 원료는 조류의 일종인 Cystoseira amentacea에서 추출한 것이다.","시스토세이라 아멘타세/캐스피토사 브란키카르파추출물","8049"
"8050","페닐아이소프로필다이메티콘","Phenylisopropyl Dimethicone","","이 원료는 다음의 구조를 갖는 실록세인 폴리머이다.","페닐이소프로필디메치콘","8050"
"8051","피토스테릴/베헤닐/옥틸도데실/이소스테아릴라우로일글루타메이트","Phytosteryl/Behenyl/Octyldodecyl/Isostearyl Lauroyl Glutamate","","이 원료는 라우로일글루타믹애씨드로 피토스테롤, 베헤닐알코올, 옥틸도데칸올 및 이소스테아릴알코올의 에스터를 혼합한 것이다.","","8051"
"8052","석류캘러스배양추출물","Punica Granatum Callus Culture Extract","","이 원료는 석류나무 Punica granatum의 캘러스를 배양하여 추출한 것이다.","","8052"
"8053","주목캘러스배양추출물","Taxus Cuspidata Callus Culture Extract","","이 원료는 주목(Taxus cuspidata)의 캘러스를 배양하여 추출한 것이다.","","8053"
"8054","삼나무캘러스배양추출물","Cryptomeria Japonica Callus Culture Extract","","이 원료는 삼나무(Cryptomeria japonica)의 캘러스를 배양하여 추출한 것이다.","","8054"
"8055","프로방스장미캘러스배양추출물","Rosa Centifolia Callus Culture Extract","","이 원료는 프로방스장미 Rosa Centifolia의 캘러스배양에서 추출한 것이다.","서양장미캘러스배양추출물","8055"
"8056","스피어민트잎추출물","Mentha Spicata Leaf Extract","","이 원료는 스피어민트 Mentha viridis (=Mentha spicata)의 잎에서 추출한 것이다.<BR/>* 정명 : Mentha spicata","","8056"
"8057","복사나무목부추출물","Prunus Persica (Peach) Wood Extract","","이 원료는 복숭아나무(Prunus persica)의 목부에서 추출한 것이다.","복숭아나무목부추출물","8057"
"8058","세틸미리스톨리에이트","Cetyl Myristoleate","","이 원료는 세틸알코올과 미리스톨레익애씨드의 에스터로 다음의 구조를 갖는다.","","8058"
"8059","세틸팔미톨리에이트","Cetyl Palmitoleate","","이 원료는 세틸알코올과 팔미톨레익애씨드의 에스터로 다음의 구조를 갖는다.","","8059"
"8060","세틸올리에이트","Cetyl Oleate","","이 원료는 세틸알코올과 올레익애씨드의 에스터로서 다음의 구조를 갖는다.","","8060"
"8061","세틸라우레이트","Cetyl Laurate","","이 원료는 세틸알코올과 라우릭애씨드의 에스터로서 다음의 구조를 갖는다.","","8061"
"8062","하이드롤라이즈드포도","Hydrolyzed Grape Fruit","","이 원료는 포도 (Vitis vinifera)의 열매를 산, 효소 또는 다른 방법으로 가수분해하여 얻은 것이다.","","8062"
"8063","적미초","Red Rice Vinegar","","이 원료는 적미(red rice)를 발효하여 얻은 것이다.","","8063"
"8064","사향쥐머스크","Muskrat Musk","","이 원료는 사향쥐(Ondatra ziebethica)에서 얻은 머스크이다.","","8064"
"8065","연두털말추출물","Papenfussiella Kuromo Extract","","이 원료는 연두털말(Papenfussiella kuromo)에서 추출한 것이다.","","8065"
"8066","효모/(참당귀/천궁/작약/지황)뿌리추출발효여과물","Saccharomyces/(Angelica Gigas/Cnidium Officinale/Paeonia Lactiflora/Rehmannia Glutinosa) Root Extract Ferment Filtrate","","이 원료는 효모로 참당귀 Angelica gigas, 천궁 Cnidium officinale, 작약 Paeonia lactiflora 및 지황 Rehmannia glutinosa의 뿌리를 발효하여 여과한 것이다.","효모/(당귀/천궁/작약/지황)뿌리추출발효여과물","8066"
"8067","락토바실러스/감초뿌리추출물/대추추출물/밀배아추출물발효여과물","Lactobacillus/Licorice Root Extract/Zizyphus Jujuba Fruit Extract/Wheat Germ Extract Ferment Filtrate","","이 원료는 미생물의 일종인 락토바실러스 Lactobacillus로 감초(Licorice) Glycyrrhiza Glabra뿌리추출물, 대추나무 Zizyphus Jujuba의 열매추출물, 및 밀(Wheat) Triticum Vulgare배아추출물을 발효하여 얻은 생성물을 여과한 것이다.","락토바실러스/감초추출물/대추추출물/밀배아추출물발효여과물","8067"
"8068","현미초","Brown Rice Vinegar","","이 원료는 탈곡하지 않은 쌀을 발효하여 얻은 식초이다.","","8068"
"8069","클루이베로미세스/락토바실러스/천궁오일발효여과물","Kluyveromyces/Lactobacillus/Cnidium Officinale Root Oil Ferment Filtrate","","이 원료는 클루이베로미세스 및 락토바실러스로 천궁(Cnidium officinale)의 뿌리에서 유래한 오일을 발효하여 여과한 것이다.","","8069"
"8070","클루이베로미세스/락토바실러스/구기자오일발효여과물","Kluyveromyces/Lactobacillus/Lycium Chinense Fruit Oil Ferment Filtrate","","이 원료는 클루이베로미세스 및 락토바실러스로 구기자오일(lycium chinense fruit oil)을 발효하여 여과한 것이다.","","8070"
"8071","클루이베로미세스/락토바실러스/인삼씨오일발효여과물","Kluyveromyces/Lactobacillus/Panax Ginseng Seed Oil Ferment Filtrate","","이 원료는 클루이베로미세스 및 락토바실러스로 인삼(Panax ginseng)의 씨를 압착하여 얻은 휘발성 오일을 발효하여 여과한 것이다.","","8071"
"8072","클루이베로미세스/락토바실러스/달맞이꽃꽃오일발효여과물","Kluyveromyces/Lactobacillus/Evening Primrose Flower Oil Ferment Filtrate","","이 원료는 클루이베로미세스 및 락토바실러스로 달맞이꽃(Oenothera biennis)의 꽃에서 유래한 휘발성 오일을 발효하여 여과한 것이다.","","8072"
"8073","클루이베로미세스/락토바실러스/소나무잎오일발효여과물","Kluyveromyces/Lactobacillus/Pinus Densiflora Leaf Oil Ferment Filtrate","","이 원료는 클루이베로미세스 및 락토바실러스로 소나무(Pinus densiflora)의 잎을 압착하여 얻은 휘발성 오일을 발효하여 여과한 것이다.","","8073"
"8074","태산목잎추출물","Magnolia Grandiflora Leaf Extract","","이 원료는 태산목(Magnolia Grandiflora)의 잎에서 추출한 것이다.","","8074"
"8075","블랙손목부추출물","Prunus Spinosa Wood Extract","","이 원료는 블랙손(Prunus spinosa)의 목부에서 추출한 것이다.","","8075"
"8076","블랙손열매즙","Prunus Spinosa Fruit Juice","","이 원료는 블랙손(Prunus spinosa)의 열매를 압착하여 얻은 즙이다.","","8076"
"8077","아크레세덤추출물","Sedum Acre Extract","","이 원료는 아크레세덤(Sedum Acre)에서 추출한 것이다.","","8077"
"8078","흰전나무잎오일","Abies Alba Leaf Oil,ABIES ALBA NEEDLE OIL","","이 원료는 흰전나무 Abies alba 잎에서 얻은 오일이다.","","8078"
"8079","타라꼬투리추출물","Caesalpinia Spinosa Fruit Pod Extract","","이 원료는 타라 Caesalpinia spinosa의 꼬투리에서 추출한 것이다.","","8079"
"8080","에스에이치-올리고펩타이드-16","sh-Oligopeptide-16","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성휴먼펩타이드이다. 출발유전자는 Chemokine (CX3C Motif) Ligand 1을 코딩하는 인간 유전자와 동일한 코드를 갖도록 합성된 것이다. 이것은 디설파이드결합 및/또는 글라이코실레이션을 가질 수 있는 최대 397개의 아미노산으로 구성되어 있다.그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","8080"
"8081","에스에이치-폴리펩타이드-46","sh-Polypeptide-46","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성휴먼펩타이드이다. 출발유전자는 Interferon Alpha 2를 코딩하는 인간 유전자와 동일한 코드를 갖도록 합성된 것이다. 이것은 디설파이드결합 및/또는 글라이코실레이션을 가질 수 있는 최대 188개의 아미노산으로 구성되어 있다.그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","8081"
"8082","에스에이치-폴리펩타이드-29","sh-Polypeptide-29","","이 원료는 대장균을 발효하여 얻은 단일사슬 합성휴먼펩타이드이다. 출발유전자는 Interleukin-3를 코딩하는 인간 유전자와 동일한 코드를 갖도록 합성된 것으로 그대로 사용하거나 생산숙주에 적합하게 개조된 것이다. 이것은 글라이코실화 및/또는 다이설파이드결합을 포함할 수 있는 최대 152개의 아미노산으로 구성되어 있다. 그 단백질을 구성하는 아미노산의 종류는 표준아미노산이다.","","8082"
"8083","트라이페닐트라이메티콘","Triphenyl Trimethicone","","이 원료는 다음의 구조를 갖는 실록세인 중합체이다.","트리페닐트리메치콘","8083"
"8084","두리안열매추출물","Durio Zibethinus Fruit Extract","","이 원료는 두리안(Durio Zibethinus)의 열매에서 추출한 것이다.","","8084"
"8085","모나스쿠스/서양유채씨오일발효추출물","Monascus/Brassica Napus Seed Oil Ferment Extract","","이 원료는 모나스커스/유채씨오일발효물에서 추출한 것이다.","모나스쿠스/유채씨오일발효추출물","8085"
"8086","자금우가지/잎추출물","Ardisia Japonica Branch/Leaf Extract","","이 원료는 자금우 (Ardisia Japonica)의 가지 및 잎에서 추출한 것이다.","","8086"
"8087","하이드롤라이즈드불가사리추출물","Hydrolyzed Starfish Extract","","이 원료는 불가사리추출물을 산, 효소 또는 다른 방법으로 가수분해하여 얻은 것이다.","","8087"
"8088","다이-C12-15알킬다이모늄클로라이드","Di-C12-15 Alkyl Dimonium Chloride","","이 원료는 다음의 구조를 갖는 4급 암모늄염이다. R은 C12-15 알킬기이다.","디-C12-15알킬디모늄클로라이드","8088"
"8089","하이드롤라이즈드율무씨","Hydrolyzed Coix Lacryma-Jobi Ma-Yuen Seed","","이 원료는 산, 효소 또는 다른 방법으로 율무 Coix lacrymajobi의 씨를 가수분해한 것이다.","하이드롤라이즈드의이인","8089"
"8090","해삼가루","Sea Cucumber Powder","","이 원료는 해삼(Apostichopus japonicus)을 건조하여 얻은 가루이다.","","8090"
"8091","코치닐","Cochineal","1343-78-8","이 원료는 다음의 구조를 갖는 천연 색소이다.","","8091"
"8092","황기잎추출물","Astragalus Membranaceus Leaf Extract","","이 원료는 황기(Astragalus membranaceus)의 잎에서 추출한 것이다.","","8092"
"8093","하이드록시피나콜론레티노에이트","Hydroxypinacolone Retinoate","","이 원료는 다음의 구조를 갖는 유기화합물이다.","","8093"
"8094","소듐카프로일/라우로일락틸레이트","Sodium Caproyl/Lauroyl Lactylate","","이 원료는 다음의 구조를 갖는 유기화합물이다. RCO는 주로 카프릭 및 라우릭애씨드의 혼합물을 나타낸다.","","8094"
"8095","효모/성모초/서양톱풀/보리지/유칼립투스/에버라스팅발효추출여과물","Saccharomyces/Alchemilla Vulgaris/Achillea Millefolium/Borago Officinalis/Eucalyptus Globulus/Helichrysum Arenarium Ferment Extract Filtrate","","이 원료는 효모로 성모초 (Alchemilla vulgari), 서양톱풀 (Achillea millefolium), 보리지 (Borago officinalis), 유칼립투스 (Eucalyptus globulus) 및 에버라스팅(Helichrysum arenarium)의 전초를 발효하여 얻은것을 추출하여 여과한 것이다.","","8095"
"8096","효모/녹차/영지버섯/인삼발효여과물","Saccharomyces/Camellia Sinensis Leaf/Ganoderma Lucidum/Panax Ginseng Root Ferment Filtrate","","이 원료는 효모로 차나무 Camellia sinensis의 잎, 균류인 영지버섯 Ganoderma lucidum 및 인삼 Panax ginseng의 뿌리를 발효하여 얻은 생성물을 여과한 것이다.","효모/녹차/영지/인삼발효여과물","8096"
"8097","메밀싹추출물","Polygonum Fagopyrum (Buckwheat) Sprout Extract","","이 원료는 메밀(buckwheat, Polygonum fagopyrum)의 싹에서 추출한 것이다.","","8097"
"8098","바실러스/귤껍질추출물발효여과물","Bacillus/Citrus Unshiu Peel Extract Ferment Filtrate","","이 원료는 바실러스로 귤껍질추출물(Citrus Unshiu Peel Extract)을 발효하여 여과한것이다.","","8098"
"8099","스위트아몬드올레오좀","Prunus Amygdalus Dulcis (Sweet Almond) Oleosomes","","이 원료는 스위트아몬드오일에서 분리된 올레오좀이다.","아몬드올레오좀","8099"
"8100","아스코빅애씨드/오렌지/레몬/라임폴리펩타이드","Ascorbic Acid/Orange/Citrus Limon/Citrus Aurantifolia Polypeptides","","이 원료는 아스코르빅애씨드와 오렌지(Citrus aurantium dulcis), 레몬(Citrus limon) 및 라임(Citrus aurantifolia)의 과육을 건조하여 얻은 폴리펩타이드의 반응물이다.","","8100"
"8101","토코페롤/밀폴리펩타이드","Tocopherol/Wheat Polypeptides","","이 원료는 토코페롤과 밀펩타이드를 가열공정처리하여 얻은 것이다.","","8101"
"8102","흑겨자씨추출물","Brassica Nigra Seed Extract","","이 원료는 흑겨자(Brassica nigra)의 씨에서 추출한 것이다.","","8102"
"8103","콩피토플라센타추출물","Glycine Max (Soybean) Phytoplacenta Extract","","이 원료는 콩 Glycine max에서 분리하거나 세포배양하여 얻은 피토플라센타세포에서 추출한 것이다.","","8103"
"8104","캐토모르파 솔리타리아캘러스배양추출물","Chaetomorpha Solitaria Callus Culture Extract","","이 원료는 캐토모르파 솔리타리아(Chaetomorpha solitaria)의 캘러스를 배양하여 추출한 것이다.","","8104"
"8105","락로즈추출물","Cistus Incanus Extract","","이 원료는 락로즈 (Cistus Incanus)의 전초에서 추출한 것이다.","","8105"
"8106","폴리쿼터늄-104","Polyquaternium-104","","이 원료는 하이드록시에칠메타크릴레이트, 아크릴릭애씨드, 메타크로일프로필디메치콘 및 아크릴아미도프로필트리모늄쿨로라이드의 반응으로 형성된 4급 암모늄염이다.","","8106"
"8107","레드맹그로브껍질추출물","Rhizophora Mangle Bark Extract","","이 원료는 레드맹그로브(Red mangrove)의 껍질에서 추출한 것이다.","","8107"
"8108","아마란스씨오일","Amaranthus Hypochondriacus Seed Oil","","이 원료는 아마란스(Amaranthus Hypochondriacus)의 씨를 압착하여 얻은 오일이다.","","8108"
"8109","워터레몬꽃추출물","Passiflora Laurifolia Flower Extract","","이 원료는 워터레몬(Passiflora laurifolia)의 꽃에서 추출한 것이다.","","8109"
"8111","트라이플루오로아세틸트라이펩타이드-2","Trifluoroacetyl Tripeptide-2","","이 원료는 트라이플루오로아세틱애씨드와 트라이펩타이드-2의 반응생산물이다.","트리플루오로아세틸트리펩타이드-2","8111"
